No,Current distance,Vr Ori SSM,Speed,Mode SSM ori,Mode Collab,x,y,z,rx,ry,rz
278,1208.69,0,250,2,3,415.914,-387.597,93.995,-179.404,-2.8385,10.0883
279,1208.69,0,250,2,3,415.916,-387.597,94.841,-179.4043,-2.8394,10.0881
280,1208.69,0,250,2,3,415.916,-387.597,95.451,-179.4038,-2.839,10.0887
281,1208.69,0,250,2,3,415.914,-387.594,95.802,-179.4037,-2.8391,10.0892
282,1208.69,0,250,2,3,415.914,-387.594,95.802,-179.4037,-2.8391,10.0892
283,1208.69,0,250,2,3,415.915,-387.594,95.832,-179.4035,-2.8391,10.0894
284,1208.69,0,250,2,3,415.915,-387.594,96.147,-179.4042,-2.8394,10.0897
285,1208.69,0,250,2,3,415.913,-387.594,96.963,-179.4043,-2.8389,10.0899
286,1208.69,0,250,2,3,415.914,-387.592,97.798,-179.4035,-2.8391,10.0897
287,1208.69,0,250,2,3,415.915,-387.593,98.198,-179.404,-2.8397,10.0884
288,1208.69,0,250,2,3,415.912,-387.592,99.033,-179.4028,-2.8384,10.0887
289,1208.69,0,250,2,3,415.913,-387.591,99.834,-179.4029,-2.839,10.0883
290,1208.69,0,250,2,3,415.915,-387.596,100.677,-179.4036,-2.8388,10.0886
291,1208.69,0,250,2,3,415.915,-387.593,101.514,-179.403,-2.8391,10.0884
292,1208.69,0,250,2,3,415.916,-387.595,102.116,-179.4038,-2.8393,10.0888
293,1208.69,0,250,2,3,415.912,-387.594,102.917,-179.4035,-2.8383,10.0889
294,1208.69,0,250,2,3,415.913,-387.593,103.756,-179.4031,-2.8387,10.0887
295,1208.69,0,250,2,3,415.912,-387.593,104.358,-179.404,-2.8389,10.0891
296,1208.69,0,250,2,3,415.916,-387.595,105.199,-179.4038,-2.8393,10.0889
297,1208.69,0,250,2,3,415.912,-387.593,106.038,-179.404,-2.8388,10.0892
298,1208.69,0,250,2,3,415.917,-387.595,106.637,-179.4039,-2.8396,10.089
299,1208.69,0,250,2,3,415.915,-387.596,107.477,-179.4044,-2.8391,10.0893
300,1208.69,0,250,2,3,415.915,-387.592,108.081,-179.4036,-2.8396,10.0892
301,1208.69,0,250,2,3,415.912,-387.593,108.874,-179.4036,-2.8387,10.0892
302,1208.69,0,250,2,3,415.915,-387.594,109.717,-179.4037,-2.8392,10.089
303,1208.69,0,250,2,3,415.916,-387.594,110.561,-179.4038,-2.8397,10.0887
304,1208.69,0,250,2,3,415.915,-387.596,111.355,-179.4039,-2.8388,10.0887
305,1208.69,0,250,2,3,415.914,-387.594,112.2,-179.404,-2.8393,10.0884
306,1208.69,0,250,2,3,415.916,-387.594,113.002,-179.4045,-2.8398,10.0901
